,parcelid,airconditioningtypeid,architecturalstyletypeid,basementsqft,bathroomcnt,bedroomcnt,buildingclasstypeid,buildingqualitytypeid,calculatedbathnbr,decktypeid,finishedfloor1squarefeet,calculatedfinishedsquarefeet,finishedsquarefeet12,finishedsquarefeet13,finishedsquarefeet15,finishedsquarefeet50,finishedsquarefeet6,fips,fireplacecnt,fullbathcnt,garagecarcnt,garagetotalsqft,hashottuborspa,heatingorsystemtypeid,latitude,longitude,lotsizesquarefeet,poolcnt,poolsizesum,pooltypeid10,pooltypeid2,pooltypeid7,propertycountylandusecode,propertylandusetypeid,propertyzoningdesc,rawcensustractandblock,regionidcity,regionidcounty,regionidneighborhood,regionidzip,roomcnt,storytypeid,threequarterbathnbr,typeconstructiontypeid,unitcnt,yardbuildingsqft17,yardbuildingsqft26,yearbuilt,numberofstories,fireplaceflag,structuretaxvaluedollarcnt,taxvaluedollarcnt,assessmentyear,landtaxvaluedollarcnt,taxamount,taxdelinquencyflag,taxdelinquencyyear,censustractandblock
6464,12170312,1,,,3,2,,7,3,,,2669,2669,,,,,6037,,3,,,,2,34179417,-118123455,15586,,,,,,100,261,LCR1*,60374612,30187,3101,,96265,0,,,,1,,,1958,,,169566,785456,2016,615890,9241.98,,,6.03746E+13
6465,12170565,,,,1,2,,4,1,,,1037,1037,,,,,6037,,1,,,,7,34179222,-118113466,9573,,,,,,100,261,LCR175,60374612,30187,3101,,96265,0,,,,1,,,1926,,,84882,424308,2016,339426,5186.77,,,6.03746E+13
6466,12170611,1,,,1,2,,6,1,,,1684,1684,,,,,6037,,1,,,,2,34180047,-118111376,9199,,,,,,100,261,LCR175,60374612,30187,3101,,96265,0,,,,1,,,1931,,,65871,301334,2016,235463,3759.32,Y,14,6.03746E+13
6467,12170711,,,,2,3,,6,2,,,1696,1696,,,,,6037,,2,,,,2,34182889,-118114461,9586,1,,,,1,101,261,LCR175,60374612,30187,3101,,96265,0,,,,1,,,1946,,,115836,357700,2016,241864,4391.27,,,6.03746E+13
6468,12170857,,,,1,4,,4,1,,,2689,2689,,,,,6037,,1,,,,2,34177615,-118134284,14808,,,,,,100,261,PSR6,60374615.01,47019,3101,274695,96292,0,,,,1,,,1924,,,141977,299915,2016,157938,3740.5,,,6.03746E+13
6469,12170972,,,,1,2,,3,1,,,918,918,,,,,6037,,1,,,,7,34174764,-118135842,12473,,,,,,100,261,PSR6,60374615.01,47019,3101,274695,96292,0,,,,1,,,1909,,,14469,33080,2016,18611,658.94,,,6.03746E+13
6470,12171064,,,,1,3,,5,1,,,802,802,,,,,6037,,1,,,,7,34171955,-118134519,8215,,,,,,100,261,PSR6,60374615.01,47019,3101,274695,96292,0,,,,1,,,1910,,,71323,285940,2016,214617,3440.6,,,6.03746E+13
6471,12171179,,,,1,3,,4,1,,,1144,1144,,,,,6037,,1,,,,7,34170345,-118136088,5856,,,,,,100,261,PSR6,60374615.01,47019,3101,274695,96292,0,,,,1,,,1923,,,46420,175900,2016,129480,2286.05,,,6.03746E+13
6472,12171262,,,,1,2,,4,1,,,780,780,,,,,6037,,1,,,,7,34170428,-118130473,2724,,,,,,100,261,PSR6,60374614,47019,3101,273539,96292,0,,,,1,,,1923,,,9878,108821,2016,98943,1400.94,,,6.03746E+13
6473,12171361,,,,1,3,,5,1,,,1338,1338,,,,,6037,,1,,,,2,34172377,-118130256,14881,,,,,,100,261,PSR6,60374614,47019,3101,273539,96292,0,,,,1,,,1925,,,66187,130539,2016,64352,1789.35,,,6.03746E+13
6474,12171499,,,,1,3,,4,1,,,2136,2136,,,,,6037,,1,,,,2,34175834,-118123770,8183,,,,,,100,261,LCR171/2,60374613,,3101,,96292,0,,,,1,,,1913,,,264338,810424,2016,546086,9470.68,,,6.03746E+13
6475,12172236,,,,3,4,,5,3,,,2076,,,2076,,,6037,,3,,,,,34171522,-118120279,7343,,,,,,200,246,PSR1,60374614,47019,3101,273539,96292,0,,,,2,,,1924,,,212283,709339,2016,497056,8348.34,,,6.03746E+13
6476,12172328,,,,1,3,,6,1,,,1357,1357,,,,,6037,,1,,,,7,34170155,-118116303,7270,,,,,,100,261,PSR6,60374614,,3101,,96292,0,,,,1,,,1926,,,62233,311196,2016,248963,3815.36,,,6.03746E+13
6477,12172726,,,,3,5,,8,3,,,2178,2178,,,,,6037,,3,,,,2,34173017,-118114831,7206,,,,,,100,261,LCR171/2,60374613,,3101,,96292,0,,,,1,,,1931,,,157621,458130,2016,300509,5525.24,,,6.03746E+13
6478,12172994,1,,,3,3,,8,3,,,1446,1446,,,,,6037,,3,,,,2,34174200,-118112000,26285,,,,,,010C,266,LCR2DP*,60374613,,3101,,96292,0,,,,1,,,1980,,,163633,319952,2016,156319,3917.28,,,6.03746E+13
6479,12173247,,,,1,2,,6,1,,,1360,1360,,,,,6037,,1,,,,7,34172727,-118107192,12646,,,,,,100,261,LCR175,60374613,,3101,,96292,0,,,,1,,,1939,,,104135,307843,2016,203708,3835.54,,,6.03746E+13
6480,12173393,,,,1,3,,4,1,,,1071,1071,,,,,6037,,1,,,,7,34173375,-118105110,9584,,,,,,100,261,LCR175,60374613,,3101,,96292,0,,,,1,,,1946,,,129869,649354,2016,519485,7628.88,,,6.03746E+13
6481,12173539,,,,1,2,,6,1,,,1121,1121,,,,,6037,,1,,,,2,34173375,-118098178,6998,,,,,,100,261,LCR175,60374613,,3101,,96292,0,,,,1,,,1936,,,122501,612522,2016,490021,7207.29,Y,10,6.03746E+13
6482,12173838,,,,1,3,,6,1,,,1124,1124,,,,,6037,,1,,,,7,34170093,-118100013,7001,,,,,,100,261,LCR175,60374613,,3101,,96292,0,,,,1,,,1939,,,112000,560000,2016,448000,6697.98,,,6.03746E+13
6483,12174468,1,,,3,4,,7,3,,,2703,2703,,,,,6037,,3,,,,2,34183740,-118109410,16570,,,,,,100,261,LCR120,60374612,30187,3101,,96265,0,,,,1,,,1926,,,489737,797147,2016,307410,9374.76,,,6.03746E+13
6484,12174658,,,,4,5,,7,4,,,4219,4219,,,,,6037,,4,,,,2,34190653,-118110476,19979,,,,,,100,261,LCR120,60374601.01,30187,3101,,96265,0,,,,1,,,1926,,,113265,158803,2016,45538,2097.48,,,6.03746E+13
6485,12174902,,,,3,2,,6,3,,,1885,1885,,,,,6037,,3,,,,2,34183317,-118100449,8896,,,,,,100,261,LCR175,60374601.01,30187,3101,,96265,0,,,,1,,,1939,,,142978,328011,2016,185033,4059.59,,,6.03746E+13
6486,12175002,,,,4,4,,7,4,,,3559,3559,,,,,6037,,4,,,,2,34184268,-118104212,22063,,,,,,100,261,LCR120,60374601.01,30187,3101,,96265,0,,,,1,,,1956,,,183830,583778,2016,399948,7022.45,,,6.03746E+13
6487,12175906,,,,1,3,,4,1,,,967,967,,,,,6037,,1,,,,7,34214330,-118159657,9280,,,,,,100,261,LCR110,60374603.01,30187,3101,,96265,0,,,,1,,,1951,,,108836,181386,2016,72550,2384.62,,,6.03746E+13
6488,12175952,,,,2,3,,8,2,,,1491,1491,,,,,6037,,2,,,,2,34210569,-118164683,7130,,,,,,100,261,LCR107,60374603.01,30187,3101,,96265,0,,,,1,,,1959,,,51547,81757,2016,30210,1278.52,Y,12,6.03746E+13
6489,12175998,,,,2,3,,4,2,,,1320,1320,,,,,6037,,2,,,,7,34212632,-118162778,7915,,,,,,100,261,LCR110,60374603.01,30187,3101,,96265,0,,,,1,,,1951,,,176541,361320,2016,184779,4473.44,,,6.03746E+13
6490,12176490,1,,,3,3,,7,3,,,2262,2262,,,,,6037,,3,,,,2,34223646,-118197796,34704,1,,,,1,101,261,LFR115000*,60374605.01,46080,3101,,96271,0,,,,1,,,1968,,,120595,603019,2016,482424,8180.43,,,6.03746E+13
6491,12176933,,,,3,5,,7,3,,,2974,2974,,,,,6037,,3,,,,2,34221442,-118205535,18030,1,,,,1,101,261,LFR115000*,60374605.01,46080,3101,,96271,0,,,,1,,,1964,,,143094,188217,2016,45123,3719.79,,,6.03746E+13
6492,12177232,,,,2,3,,8,2,,,1991,1991,,,,,6037,,2,,,,2,34239316,-118245003,6279,,,,,,100,261,LCR171/2,60373001,396551,3101,,96330,0,,,,1,,,1968,,,168109,357972,2016,189863,4109.16,,,6.0373E+13
6493,12177255,,,,1,1,,4,1,,,872,872,,,,,6037,,1,,,,7,34237436,-118243495,5504,,,,,,100,261,LCR171/2,60373001,396551,3101,,96330,0,,,,1,,,1947,,,98479,492396,2016,393917,5510.58,Y,15,6.0373E+13
6494,12177378,,,,2,3,,6,2,,,1272,1272,,,,,6037,,2,,,,2,34238683,-118242526,5209,,,,,,100,261,LCR171/2,60373001,396551,3101,,96330,0,,,,1,,,1951,,,41816,67058,2016,25242,851.27,,,6.0373E+13
6495,12177470,,,,1,2,,6,1,,,1180,1180,,,,,6037,,1,,,,7,34237598,-118240640,5592,,,,,,100,261,LCR171/2,60373001,396551,3101,,96330,0,,,,1,,,1938,,,134433,334589,2016,200156,3821.06,,,6.0373E+13
6496,12177516,,,,1,2,,4,1,,,1322,1322,,,,,6037,,1,,,,7,34235369,-118240072,7645,,,,,,100,261,LCR171/2,60373001,396551,3101,,96330,0,,,,1,,,1948,,,80186,400949,2016,320763,4550.83,,,6.0373E+13
6497,12177777,,,,3,3,,8,3,,,2292,2292,,,,,6037,,3,,,,2,34239346,-118237966,8410,,,,,,100,261,LCR11L,60373001,396551,3101,,96330,0,,,,1,,,1964,,,358100,970000,2016,611900,10680.55,,,6.0373E+13
6498,12178015,1,,,4,3,,8,4,,,2135,2135,,,,,6037,,4,,,,2,34243453,-118242388,8305,1,,,,1,101,261,LCR171/2,60373001,396551,3101,,96330,0,,,,1,,,1950,,,248927,459625,2016,210698,5220.27,,,6.0373E+13
6499,12178283,1,,,3,3,,8,3,,,2531,2531,,,,,6037,,3,,,,2,34241578,-118238255,14022,1,,,,1,101,261,LCR110000*,60373001,396551,3101,,96330,0,,,,1,,,1983,,,288628,850196,2016,561568,9417.2,,,6.0373E+13
6500,12178329,1,,,2,3,,7,2,,,2040,2040,,,,,6037,,2,,,,2,34243866,-118238662,10533,1,,,,1,101,261,LCR110000*,60373001,396551,3101,,96330,0,,,,1,,,1967,,,201655,567632,2016,365977,6327.81,,,6.0373E+13
6501,12178352,,,,3,3,,8,3,,,2292,2292,,,,,6037,,3,,,,2,34243037,-118236518,11770,,,,,,100,261,LCR11L,60373001,396551,3101,,96330,0,,,,1,,,1965,,,98357,127951,2016,29594,1589.24,,,6.0373E+13
6502,12178475,1,,,3,5,,8,3,,,2266,2266,,,,,6037,,3,,,,2,34235160,-118233650,7657,1,,,,1,101,261,LCR11L,60373001,396551,3101,,96330,0,,,,1,,,1954,,,293650,780670,2016,487020,8699.15,,,6.0373E+13
6503,12178598,1,,,2,4,,8,2,,,1698,1698,,,,,6037,,2,,,,2,34232832,-118228561,8662,,,,,,101,261,LCR110000*,60373001,396551,3101,,96330,0,,,,1,,,1951,,,203063,461030,2016,257967,5145.13,,,6.0373E+13
6504,12178690,1,,,4,4,,7,4,,,3497,3497,,,,,6037,,4,,,,2,34235978,-118229215,10128,,,,,,100,261,LCR11L,60373001,396551,3101,,96330,0,,,,1,,,1945,,,379843,434083,2016,54240,4935.49,,,6.0373E+13
6505,12178713,,,,2,3,,8,2,,,2162,2162,,,,,6037,,2,,,,2,34236387,-118226344,10412,1,,,,1,101,261,LCR11L,60373001,396551,3101,,96330,0,,,,1,,,1956,,,271476,594603,2016,323127,6696.18,,,6.0373E+13
6506,12178736,,,,2,2,,8,2,,,1896,1896,,,,,6037,,2,,,,2,34237208,-118226952,14054,,,,,,100,261,LCR171/2,60373001,396551,3101,,96330,0,,,,1,,,1962,,,135000,801000,2016,666000,8857.71,,,6.0373E+13
6507,12178828,,,,1,3,,5,1,,,656,656,,,,,6037,,1,,,,7,34238721,-118224659,9247,,,,,,100,261,LCR171/2,60373001,396551,3101,,96330,0,,,,1,,,1924,,,49652,248292,2016,198640,2798.44,,,6.0373E+13
6508,12179124,,,,2,2,,8,2,,,2038,2038,,,,,6037,,2,,,,2,34299570,-118273170,110716,,,,,,100,261,LCA11-W*,60379302,,3101,,96284,0,,,,1,,,1978,,,98520,110897,2016,12377,1445.66,,,6.03793E+13
6509,12179828,,,,3,3,,8,3,,,2167,2167,,,,,6037,,3,,,,2,34234287,-118223852,10198,,,,,,100,261,LFR110000*,60374606,46080,3101,,96271,0,,,,1,,,1956,,,92348,128771,2016,36423,1575.3,,,6.03746E+13
6510,12179851,,,,2,3,,8,2,,,1836,1836,,,,,6037,,2,,,,2,34238036,-118222627,11885,,,,,,100,261,LFR120*,60374606,46080,3101,,96271,0,,,,1,,,1961,,,109094,440251,2016,331157,4931.02,,,6.03746E+13
6511,12180566,,,,2,2,,4,2,,,743,743,,,,,6037,,2,,,,7,33987758,-118304614,3351,,,,,,100,261,LAR2,60372372.02,12447,3101,118208,96028,0,,,,1,,,1921,,,40322,138574,2016,98252,1773.75,,,6.03724E+13
6512,12180704,,,,2,3,,3,2,,,1592,,,1592,,,6037,,2,,,,,33987277,-118300630,3360,,,,,,200,246,LAR1,60372372.01,12447,3101,118208,96028,0,,,,2,,,1928,,,90600,320000,2016,229400,3900.69,,,6.03724E+13
6513,12180727,,,,2,3,,4,2,,,1142,1142,,,,,6037,,2,,,,7,33986099,-118300124,4483,,,,,,100,261,LAR1,60372372.01,12447,3101,118208,96028,0,,,,1,,,1937,,,18404,38878,2016,20474,622.89,,,6.03724E+13
6514,12180773,,,,1,2,,5,1,,,690,690,,,,,6037,,1,,,,7,33986457,-118302908,3362,,,,,,100,261,LAR1,60372372.02,12447,3101,118208,96028,0,,,,1,,,1921,,,49065,158103,2016,109038,2004.25,,,6.03724E+13
6515,12181141,,,,1,3,,4,1,,,990,990,,,,,6037,,1,,,,7,33982608,-118303368,4370,,,,,,100,261,LAR1,60372372.02,12447,3101,118208,96028,0,,,,1,,,1923,,,57677,103641,2016,45964,1354.56,,,6.03724E+13
6516,12181317,,,,1,2,,6,1,,,1120,1120,,,,,6037,,1,,,,7,33982062,-118300537,4717,,,,,,100,261,LAR1,60372374.02,12447,3101,118208,96028,0,,,,1,,,1937,,,65327,224552,2016,159225,2892.55,,,6.03724E+13
6517,12181485,,,,1,2,,5,1,,,1064,1064,,,,,6037,,1,,,,,33988087,-118298728,4800,,,,,,100,261,LAR2,60372372.01,12447,3101,118208,96025,0,,,,1,,,1912,,,51000,260000,2016,209000,3257.82,,,6.03724E+13
6518,12183138,,,,2,4,,5,2,,,1372,,,1372,,,6037,,2,,,,,33988569,-118282581,5206,,,,,,200,246,LAR2,60372371.02,12447,3101,118208,96025,0,,,,2,,,1915,,,63066,116883,2016,53817,1577.78,,,6.03724E+13
6519,12183153,,,,2,5,,5,2,,,2020,,,2020,,,6037,,2,,,,,33987642,-118280976,6639,,,,,,200,246,LAR2,60372371.02,12447,3101,118208,95984,0,,,,2,,,1907,,,60047,294246,2016,234199,3659.36,,,6.03724E+13
6520,12183275,,,,1,2,,5,1,,,1108,1108,,,,,6037,,1,,,,,33980860,-118281132,5152,,,,,,100,261,LAR2,60372376,12447,3101,118208,95984,0,,,,1,,,1914,,,40568,202844,2016,162276,2586.31,,,6.03724E+13
6521,12183549,,,,2,4,,4,2,,,1298,1298,,,,,6037,,2,,,,7,33987948,-118274906,4670,,,,,,100,261,LAR2,60372392.01,12447,3101,268496,95984,0,,,,1,,,1921,,,67869,112862,2016,44993,1524.84,,,6.03724E+13
6522,12184442,,,,3,4,,4,3,,,1407,,,1407,,,6037,,3,,,,7,33980861,-118270151,5403,,,,,,300,247,LAR2,60372393.2,12447,3101,268496,95984,0,,,,3,,,1948,,,105514,301319,2016,195805,3734.54,,,6.03724E+13
6523,12184641,,,,3,4,,3,3,,,2136,,,2136,,,6037,,3,,,,,33983986,-118265530,5400,,,,,,300,247,LAR2,60372392.02,12447,3101,268496,95984,0,,,,3,,,1930,,,14061,28530,2016,14469,514.22,,,6.03724E+13
6524,12184687,,,,2,3,,3,2,,,1196,,,1196,,,6037,,2,,,,7,33983609,-118267146,5399,,,,,,200,246,LAR2,60372392.02,12447,3101,268496,95984,0,,,,2,,,1924,,,35646,89126,2016,53480,1239.53,,,6.03724E+13
6525,12185779,,,,2,4,,4,2,,,1445,1445,,,,,6037,,2,,,,2,33986747,-118249544,5000,,,,,,100,261,LCM1*,60375328,396053,3101,,95982,0,,,,1,,,1925,,,86579,259740,2016,173161,3585.05,,,6.03753E+13
6526,12185955,,,,2,5,,4,2,,,2008,2008,,,,,6037,,2,,,,7,33984155,-118250837,6696,,,,,,100,261,LCR3*,60375328,396053,3101,,95982,0,,,,1,,,1950,,,160834,275097,2016,114263,3795.73,,,6.03753E+13
6527,12186260,,,,3,6,,6,3,,,2856,,,2856,,,6037,,3,,,,,33984689,-118244033,7327,,,,,,300,247,LCR3YY,60375330.01,396053,3101,,95982,0,,,,3,,,1963,,,207106,419389,2016,212283,6273.26,,,6.03753E+13
6528,12186283,,,,1,2,,5,1,,,800,800,,,,,6037,,1,,,,7,33985395,-118242991,2536,,,,,,100,261,LCR3*,60375330.01,396053,3101,,95982,0,,,,1,,,1923,,,52488,213202,2016,160714,3084.49,Y,15,6.03753E+13
6529,12186329,,,,3,8,,4,3,,,2956,,,2956,,,6037,,3,,,,7,33982869,-118243513,7208,,,,,,300,247,LCR3*,60375330.01,396053,3101,,95982,0,,,,3,,,1971,,,224026,362553,2016,138527,5613.07,,,6.03753E+13
6530,12186418,,,,1,2,,5,1,,,672,672,,,,,6037,,1,,,,7,33985839,-118241073,3904,,,,,,100,261,LCR4*,60375327,396053,3101,,95982,0,,,,1,,,1922,,,33631,77353,2016,43722,1424.32,,,6.03753E+13
6531,12186799,,,,1,3,,5,1,,,960,960,,,,,6037,,1,,,,7,33979039,-118241149,3462,,,,,,100,261,LCR4*,60375330.02,396053,3101,,95982,0,,,,1,,,1912,,,90840,177443,2016,86603,2675.18,,,6.03753E+13
6532,12186868,,,,1,2,,5,1,,,886,886,,,,,6037,,1,,,,,33977748,-118241184,6475,,,,,,100,261,LCR4*,60375330.02,396053,3101,,95982,0,,,,1,,,1921,,,64757,276703,2016,211946,3766.48,,,6.03753E+13
6533,12187006,,,,1,2,,5,1,,,957,957,,,,,6037,,1,,,,7,33974974,-118238231,4530,,,,,,100,261,LCC3*,60375330.02,396053,3101,,95982,0,,,,1,,,1921,,,74869,155977,2016,81108,2428.99,,,6.03753E+13
6534,12187125,,,,2,4,,5,2,,,2249,,,2249,,,6037,,2,,,,,33975265,-118237280,5862,,,,,,200,246,LCC3YY,60375330.02,,3101,,95982,0,,,,2,,,1924,,,146440,256266,2016,109826,3880.61,,,6.03753E+13
6535,12187194,,,,2,3,,5,2,,,880,880,,,,,6037,,2,,,,7,33981355,-118252650,4829,,,,,,100,261,LCR3*,60375329,396053,3101,,95982,0,,,,1,,,1924,,,46527,89274,2016,42747,1564.41,,,6.03753E+13
6536,12187217,,,,1,2,,5,1,,,816,816,,,,,6037,,1,,,,7,33981026,-118252913,4724,,,,,,100,261,LCR3*,60375329,396053,3101,,95982,0,,,,1,,,1925,,,104000,266000,2016,162000,3712.3,,,6.03753E+13
6537,12187454,,,,1,4,,5,1,,,1268,1268,,,,,6037,,1,,,,7,33977788,-118252888,4877,,,,,,100,261,LCR3*,60375329,396053,3101,,95982,0,,,,1,,,1924,,,110771,217510,2016,106739,3165,,,6.03753E+13
6538,12187644,,,,1,3,,5,1,,,996,996,,,,,6037,,1,,,,7,33981029,-118248055,5903,,,,,,100,261,LCR3*,60375329,396053,3101,,95982,0,,,,1,,,1920,,,81065,223562,2016,142497,3228.73,,,6.03753E+13
6539,12187751,,,,2,3,,3,2,,,1332,,,1332,,,6037,,2,,,,,33978135,-118250304,5303,,,,,,200,246,LCR3YY,60375329,396053,3101,,95982,0,,,,2,,,1925,,,156500,350000,2016,193500,4935.11,,,6.03753E+13
6540,12188087,,,,1,2,,4,1,,,985,985,,,,,6037,,1,,,,7,33979853,-118245955,8876,,,,,,100,261,LCR3*,60375330.01,396053,3101,,95982,0,,,,1,,,1912,,,52983,270816,2016,217833,3711.64,,,6.03753E+13
6541,12188553,,,,2,3,,3,2,,,1397,,,1397,,,6037,,2,,,,7,33976357,-118272377,5107,,,,,,200,246,LAR2,60372393.2,12447,3101,268496,95984,0,,,,2,,,1923,,,49969,119573,2016,69604,1618.88,,,6.03724E+13
6542,12188599,,,,1,2,,5,1,,,732,732,,,,,6037,,1,,,,7,33975640,-118270633,4079,,,,,,100,261,LAR2,60372393.2,12447,3101,268496,95984,0,,,,1,,,1923,,,26686,104623,2016,77937,1300.26,,,6.03724E+13
6543,12188622,,,,2,4,,5,2,,,1674,,,1674,,,6037,,2,,,,7,33975651,-118271879,5669,,,,,,200,246,LAR2,60372393.2,12447,3101,268496,95984,0,,,,2,,,1923,,,98375,284770,2016,186395,3604.5,,,6.03724E+13
6544,12188660,,,,2,2,,5,2,,,1342,1342,,,,,6037,,2,,,,7,33975189,-118271883,5100,,,,,,100,261,LAR2,60372393.2,12447,3101,268496,95984,0,,,,1,,,1910,,,69364,169280,2016,99916,2199.76,,,6.03724E+13
6545,12188988,,,,2,3,,4,2,,,1340,1340,,,,,6037,,2,,,,7,33980339,-118267134,5400,,,,,,100,261,LAR2,60372393.3,12447,3101,268496,95984,0,,,,1,,,1928,,,34679,67487,2016,32808,895.07,,,6.03724E+13
6546,12189133,,,,2,2,,6,2,,,1188,1188,,,,,6037,,2,,,,7,33980051,-118278468,4570,,,,,,100,261,LAR2,60372393.1,12447,3101,268496,95984,0,,,,1,,,1913,,,106057,229254,2016,123197,2892.66,,,6.03724E+13
6547,12189339,,,,2,2,,6,2,,,1920,,,1920,,,6037,,2,,,,,33976232,-118274917,5103,,,,,,200,246,LAR2,60372393.1,12447,3101,268496,95984,0,,,,2,,,1923,,,165396,352637,2016,187241,4324.78,,,6.03724E+13
6548,12189749,,,,2,3,,5,2,,,1306,1306,,,,,6037,,2,,,,,33980750,-118287395,5832,,,,,,100,261,LARD2,60372375,12447,3101,118208,96025,0,,,,1,,,1920,,,52793,263965,2016,211172,3331,,,6.03724E+13
6549,12190139,1,,,2,4,,6,2,,,2040,,,2040,,,6037,,2,,,,,33978389,-118281134,5227,,,,,,200,246,LAR2,60372376,12447,3101,118208,95984,0,,,,2,,,1911,,,164513,305689,2016,141176,3856.18,,,6.03724E+13
6550,12190407,,,,1,3,,5,1,,,1250,1250,,,,,6037,,1,,,,,33980372,-118298499,4741,,,,,,100,261,LAR4,60372374.02,12447,3101,118208,96025,0,,,,1,,,1923,,,25300,46813,2016,21513,640.74,,,6.03724E+13
6551,12190522,,,,1,2,,5,1,,,706,706,,,,,6037,,1,,,,,33979340,-118292988,2366,,,,,,100,261,LAR1,60372374.01,12447,3101,118208,96025,0,,,,1,,,1921,,,6757,26831,2016,20074,345.42,,,6.03724E+13
6552,12190875,,,,1,2,,5,1,,,952,952,,,,,6037,,1,,,,,33977558,-118298245,4680,,,,,,100,261,LAR1,60372374.02,12447,3101,118208,96025,0,,,,1,,,1922,,,8673,30186,2016,21513,429.58,Y,15,6.03724E+13
6553,12191067,,,,1,3,,5,1,,,1025,1025,,,,,6037,,1,,,,,33975954,-118295665,4680,,,,,,100,261,LAR1,60372374.01,12447,3101,118208,96025,0,,,,1,,,1912,,,7636,29149,2016,21513,420.32,,,6.03724E+13
6554,12191159,,,,1,2,,4,1,,,704,704,,,,,6037,,1,,,,7,33974852,-118295536,3884,,,,,,100,261,LAC2,60372374.01,12447,3101,118208,96025,0,,,,1,,,1922,,,101000,247000,2016,146000,3135.05,,,6.03724E+13
6555,12191220,,,,1,2,,4,1,,,968,968,,,,,6037,,1,,,,7,33981159,-118300937,4759,,,,,,100,261,LAR1,60372374.02,12447,3101,118208,96028,0,,,,1,,,1924,,,60038,109784,2016,49746,1463.05,,,6.03724E+13
6556,12191312,,,,2,3,,4,2,,,1428,,,1428,,,6037,,2,,,,,33981149,-118307269,4759,,,,,,200,246,LAR2,60372373.01,12447,3101,118208,96028,0,,,,2,,,1947,,,62413,301666,2016,239253,3778.67,,,6.03724E+13
6557,12191473,,,,2,2,,4,2,,,1416,1416,,,,,6037,,2,,,,7,33979329,-118300548,4003,,,,,,100,261,LAR1,60372374.02,12447,3101,118208,96028,0,,,,1,,,1923,,,77066,229888,2016,152822,2906.84,,,6.03724E+13
6558,12192110,,,,3,4,,5,3,,,1472,,,1472,,,6037,,3,,,,7,33975615,-118299608,6987,,,,,,200,246,LAR1,60372374.02,12447,3101,118208,96028,0,,,,2,,,1923,,,39161,89468,2016,50307,1319.15,Y,15,6.03724E+13
6559,12192285,,,,2,2,,6,2,,,1429,1429,,,,,6037,,2,,,,7,33981619,-118314182,3916,,,,,,100,261,LAR1,60372373,12447,3101,118208,96028,0,,,,1,,,1925,,,84904,264868,2016,179964,4984.69,,,6.03724E+13
6560,12192431,,,,1,3,,4,1,,,1286,1286,,,,,6037,,1,,,,7,33980038,-118313259,4764,,,,,,100,261,LAR1,60372373,12447,3101,118208,96028,0,,,,1,,,1925,,,63864,146316,2016,82452,1828.51,,,6.03724E+13
6561,12192623,,,,2,2,,4,2,,,1038,,,1038,,,6037,,2,,,,,33979058,-118316563,2250,,,,,,200,246,LAR3,60372373,12447,3101,118208,96028,0,,,,2,,,1936,,,14881,26039,2016,11158,441.25,,,6.03724E+13
6562,12192838,,,,1,3,,6,1,,,1512,1512,,,,,6037,,1,,,,7,33977551,-118312777,5441,,,,,,100,261,LAR1,60372373,12447,3101,118208,96028,0,,,,1,,,1929,,,66000,331000,2016,265000,4052.14,,,6.03724E+13
6563,12192861,,,,1,2,,4,1,,,1082,1082,,,,,6037,,1,,,,7,33977220,-118309022,4446,,,,,,100,261,LAR1,60372373,12447,3101,118208,96028,0,,,,1,,,1928,,,46916,187388,2016,140472,2304.52,,,6.03724E+13
6564,12192922,,,,1,2,,4,1,,,1083,1083,,,,,6037,,1,,,,7,33975605,-118309191,4549,,,,,,100,261,LAR2,60372373,12447,3101,118208,96028,0,,,,1,,,1928,,,23829,119172,2016,95343,1493.61,,,6.03724E+13
6565,12193380,,,,1,3,,6,1,,,1318,1318,,,,,6037,,1,,,,7,33972479,-118310080,6702,,,,,,100,261,LAR1,60372379,12447,3101,118208,96028,0,,,,1,,,1945,,,64848,87805,2016,22957,1174.02,,,6.03724E+13
6566,12193541,,,,2,4,,6,2,,,1933,1933,,,,,6037,,2,,,,2,33970591,-118309094,6705,,,,,,100,261,LAR1,60372379,12447,3101,118208,96028,0,,,,1,,,1940,,,46198,68541,2016,22343,956.7,,,6.03724E+13
6567,12193564,,,,1,3,,4,1,,,1569,1569,,,,,6037,,1,,,,7,33970596,-118311278,7360,,,,,,100,261,LAR1,60372379,12447,3101,118208,96028,0,,,,1,,,1923,,,39036,62828,2016,23792,883.26,,,6.03724E+13
6568,12193664,1,,,3,3,,8,3,,,1773,1773,,,,,6037,,3,,,,2,33969703,-118314461,6957,,,,,,100,261,LAR1,60372379,12447,3101,118208,96028,0,,,,1,,,1927,,,65652,318943,2016,253291,3951.52,,,6.03724E+13
6569,12193710,,,,1,3,,6,1,,,1484,1484,,,,,6037,,1,,,,2,33969690,-118309590,6707,,,,,,100,261,LAR1,60372379,12447,3101,118208,96028,0,,,,1,,,1928,,,82260,225831,2016,143571,2812.33,,,6.03724E+13
6570,12193825,,,,2,3,,6,2,,,2049,2049,,,,,6037,,2,,,,2,33967902,-118315325,6706,,,,,,100,261,LAR1,60372379,12447,3101,118208,96028,0,,,,1,,,1927,,,141831,206918,2016,65087,2610.87,,,6.03724E+13
